
---------- Begin Simulation Statistics ----------
simSeconds                                   0.279972                       # Number of seconds simulated (Second)
simTicks                                 279971790000                       # Number of ticks simulated (Tick)
finalTick                                279971790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38057.43                       # Real time elapsed on the host (Second)
hostTickRate                                  7356561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10449760                       # Number of bytes of host memory used (Byte)
simInsts                                   3195112368                       # Number of instructions simulated (Count)
simOps                                     6091087680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160050                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       559126202                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385401329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    2068                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     392393672                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 24163                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4710417                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5516167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                337                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          554981938                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.707039                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.579813                       # Number of insts issued each cycle (Count)
system.l2.demandMissRate::cpu08.inst         0.012307                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu08.data         0.043715                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu09.inst         0.004708                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu09.data         0.043375                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu10.inst         0.006116                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu10.data         0.043443                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu11.inst         0.003406                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu11.data         0.043628                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu12.inst         0.012224                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu12.data         0.043443                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu13.inst         0.571535                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu13.data         0.043600                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu14.inst         0.003403                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu14.data         0.043710                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu15.inst         0.582031                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::cpu15.data         0.043357                       # miss rate for demand accesses (Ratio)
system.l2.demandMissRate::total              0.041853                       # miss rate for demand accesses (Ratio)
system.l2.overallMissRate::cpu00.inst        0.004662                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu00.data        0.043336                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu01.inst        0.004677                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu01.data        0.043540                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu02.inst        0.564375                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu02.data        0.043569                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu03.inst        0.474640                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu03.data        0.043490                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu04.inst        0.543393                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu04.data        0.043856                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu05.inst        0.006180                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu05.data        0.043460                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu06.inst        0.012376                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu06.data        0.043465                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu07.inst        0.004603                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu07.data        0.043516                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu08.inst        0.012307                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu08.data        0.043715                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu09.inst        0.004708                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu09.data        0.043375                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu10.inst        0.006116                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu10.data        0.043443                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu11.inst        0.003406                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu11.data        0.043628                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu12.inst        0.012224                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu12.data        0.043443                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu13.inst        0.571535                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu13.data        0.043600                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu14.inst        0.003403                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu14.data        0.043710                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu15.inst        0.582031                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::cpu15.data        0.043357                       # miss rate for overall accesses (Ratio)
system.l2.overallMissRate::total             0.041853                       # miss rate for overall accesses (Ratio)
system.l2.demandAvgMissLatency::cpu00.inst 183257.605046                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu00.data 161477.719217                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu01.inst 183394.510780                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu01.data 161072.474053                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu02.inst 203398.111742                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu02.data 161116.303212                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu03.inst 199774.010275                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu03.data 161268.257965                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu04.inst 178675.700670                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu04.data 161078.239718                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu05.inst 202177.628756                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu05.data 160993.115374                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu06.inst 200035.938186                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu06.data 160847.641188                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu07.inst 177998.185707                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu07.data 161427.553377                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu08.inst 195528.401900                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu08.data 160519.275041                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu09.inst 184144.101833                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu09.data 161180.511661                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu10.inst 204087.329757                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu10.data 161223.792741                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu11.inst 181169.846372                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu11.data 160924.860041                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu12.inst 201241.399333                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu12.data 161322.984940                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu13.inst 200702.308414                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu13.data 161091.473735                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu14.inst 173895.040906                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu14.data 161085.967106                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu15.inst 186062.130098                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::cpu15.data 162033.779175                       # average overall miss latency ((Cycle/Count))
system.l2.demandAvgMissLatency::total    161430.981680                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu00.inst 183257.605046                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu00.data 161477.719217                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu01.inst 183394.510780                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu01.data 161072.474053                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu02.inst 203398.111742                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu02.data 161116.303212                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu03.inst 199774.010275                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu03.data 161268.257965                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu04.inst 178675.700670                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu04.data 161078.239718                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu05.inst 202177.628756                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu05.data 160993.115374                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu06.inst 200035.938186                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu06.data 160847.641188                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu07.inst 177998.185707                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu07.data 161427.553377                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu08.inst 195528.401900                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu08.data 160519.275041                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu09.inst 184144.101833                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu09.data 161180.511661                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu10.inst 204087.329757                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu10.data 161223.792741                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu11.inst 181169.846372                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu11.data 160924.860041                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu12.inst 201241.399333                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu12.data 161322.984940                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu13.inst 200702.308414                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu13.data 161091.473735                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu14.inst 173895.040906                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu14.data 161085.967106                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu15.inst 186062.130098                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::cpu15.data 162033.779175                       # average overall miss latency ((Cycle/Count))
system.l2.overallAvgMissLatency::total   161430.981680                       # average overall miss latency ((Cycle/Count))
system.l2.blockedCycles::no_mshrs            12778812                       # number of cycles access was blocked (Cycle)
system.l2.blockedCycles::no_targets                 0                       # number of cycles access was blocked (Cycle)
system.l2.blockedCauses::no_mshrs              776043                       # number of times access was blocked (Count)
system.l2.blockedCauses::no_targets                 0                       # number of times access was blocked (Count)
system.l2.avgBlocked::no_mshrs              16.466629                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.avgBlocked::no_targets                  nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2.writebacks::writebacks              5778568                       # number of writebacks (Count)
system.l2.writebacks::total                   5778568                       # number of writebacks (Count)
system.l2.demandMshrHits::cpu00.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu03.inst                2                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu03.data                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu04.inst                2                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu05.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu06.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu07.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu07.data                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu08.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu09.inst                2                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu10.inst                2                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu11.data                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu12.data                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu13.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu14.inst                1                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::cpu15.inst                2                       # number of demand (read+write) MSHR hits (Count)
system.l2.demandMshrHits::total                    21                       # number of demand (read+write) MSHR hits (Count)
system.l2.overallMshrHits::cpu00.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu03.inst               2                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu03.data               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu04.inst               2                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu05.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu06.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu07.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu07.data               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu08.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu09.inst               2                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu10.inst               2                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu11.data               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu12.data               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu13.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu14.inst               1                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::cpu15.inst               2                       # number of overall MSHR hits (Count)
system.l2.overallMshrHits::total                   21                       # number of overall MSHR hits (Count)
system.l2.demandMshrMisses::cpu00.inst           3883                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu00.data         431069                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu01.inst           3896                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu01.data         433171                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu02.inst           3875                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu02.data         432015                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu03.inst           3891                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu03.data         431201                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu04.inst           3880                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu04.data         434628                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu05.inst           3859                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu05.data         430947                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu06.inst           3914                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu06.data         431014                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu07.inst           3833                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu07.data         432841                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu08.inst           3893                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu08.data         433423                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu09.inst           3926                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu09.data         431594                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu10.inst           3819                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu10.data         430674                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu11.inst           3886                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu11.data         434233                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu12.inst           3899                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu12.data         430682                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu13.inst           3838                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu13.data         432130                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu14.inst           3886                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu14.data         434850                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu15.inst           3872                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::cpu15.data         429725                       # number of demand (read+write) MSHR misses (Count)
system.l2.demandMshrMisses::total             6976247                       # number of demand (read+write) MSHR misses (Count)
system.l2.overallMshrMisses::cpu00.inst          3883                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu00.data        431069                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu01.inst          3896                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu01.data        433171                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu02.inst          3875                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu02.data        432015                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu03.inst          3891                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu03.data        431201                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu04.inst          3880                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu04.data        434628                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu05.inst          3859                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu05.data        430947                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu06.inst          3914                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu06.data        431014                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu07.inst          3833                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu07.data        432841                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu08.inst          3893                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu08.data        433423                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu09.inst          3926                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu09.data        431594                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu10.inst          3819                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu10.data        430674                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu11.inst          3886                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu11.data        434233                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu12.inst          3899                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu12.data        430682                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu13.inst          3838                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu13.data        432130                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu14.inst          3886                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu14.data        434850                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu15.inst          3872                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::cpu15.data        429725                       # number of overall MSHR misses (Count)
system.l2.overallMshrMisses::total            6976247                       # number of overall MSHR misses (Count)
system.l2.demandMshrMissLatency::cpu00.inst    672793538                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu00.data  65297348945                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu01.inst    675545014                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu01.data  65440214658                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu02.inst    749417683                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu02.data  65284509732                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu03.inst    738565722                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu03.data  65227135371                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu04.inst    654638070                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu04.data  65662833172                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu05.inst    741672647                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu05.data  65070030091                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu06.inst    743929698                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu06.data  65017445219                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu07.inst    644048544                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu07.data  65544131559                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu08.inst    722428097                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu08.data  65238515746                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu09.inst    683917532                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu09.data  65248601750                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu10.inst    741438187                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu10.data  65128155715                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu11.inst    665176023                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu11.data  65536574675                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu12.inst    745650216                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu12.data  65172100623                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu13.inst    732008662                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu13.data  65291158545                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu14.inst    637048524                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu14.data  65699732796                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu15.inst    681207192                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::cpu15.data  65332715756                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.demandMshrMissLatency::total   1056420689702                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu00.inst    672793538                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu00.data  65297348945                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu01.inst    675545014                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu01.data  65440214658                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu02.inst    749417683                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu02.data  65284509732                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu03.inst    738565722                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu03.data  65227135371                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu04.inst    654638070                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu04.data  65662833172                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu05.inst    741672647                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu05.data  65070030091                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu06.inst    743929698                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu06.data  65017445219                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu07.inst    644048544                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu07.data  65544131559                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu08.inst    722428097                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu08.data  65238515746                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu09.inst    683917532                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu09.data  65248601750                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu10.inst    741438187                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu10.data  65128155715                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu11.inst    665176023                       # number of overall MSHR miss ticks (Tick)
system.l2.overallMshrMissLatency::cpu11.data  65536574675                       # number of overall MSHR miss ticks (Tick)
